Risk;CVision;TAnalytics;Bot
8;0,607411;0,209778;0,197147
8;0,360045;0,795295;0,781774
4;0,18023;0,132084;0,469848
3;0,763871;0,077007;0,938256
2;0,123038;0,141907;0,129861
8;0,357032;0,728677;0,061859
0;0,324165;0,787763;0,595307
1;0,316473;0,901699;0,436611
3;0,804327;0,841052;0,258112
9;0,542911;0,351974;0,887154
4;0,72899;0,013489;0,698594
5;0,929537;0,64546;0,410227
0;0,260518;0,06461;0,645061
2;0,414432;0,07122;0,360693
3;0,722375;0,529457;0,300592
1;0,348021;0,066401;0,88998
0;0,386616;0,233085;0,840383
0;0,59107;0,565119;0,518046
2;0,423183;0,499265;0,281362
3;0,570419;0,035197;0,168979
1;0,700279;0,787349;0,225367
3;0,372863;0,547844;0,90466
6;0,572222;0,164872;0,58037
5;0,839376;0,38538;0,771207
5;0,289924;0,477432;0,685444
7;0,523226;0,586207;0,10326
0;0,690321;0,125361;0,630707
6;0,814605;0,227586;0,426196
4;0,862761;0,405028;0,416614
5;0,33448;0,550374;0,215607
3;0,868585;0,812922;0,964337
2;0,967291;0,292364;0,629856
0;0,339632;0,965546;0,415108
9;0,059295;0,811036;0,994537
5;0,420447;0,63871;0,223683
0;0,636693;0,369638;0,423573
2;0,028708;0,542482;0,676616
3;0,609506;0,810076;0,008292
5;0,291725;0,041314;0,158799
10;0,508075;0,007177;0,6044
1;0,835397;0,494039;0,837507
6;0,725447;0,203368;0,126483
3;0,293992;0,125728;0,076844
2;0,839088;0,526904;0,849431
5;0,466175;0,373116;0,398462
5;0,84773;0,213802;0,510173
4;0,239079;0,642849;0,349809
8;0,644439;0,10148;0,751623
2;0,043743;0,816312;0,479126
6;0,118923;0,004566;0,587211
4;0,38169;0,793315;0,761114
8;0,784346;0,898516;0,608749
8;0,210207;0,670891;0,021568
9;0,014014;0,598351;0,16802
6;0,618343;0,537422;0,721245
1;0,992159;0,494768;0,282592
6;0,524622;0,483302;0,928051
4;0,399939;0,640446;0,811118
7;0,926391;0,348011;0,584786
7;0,758699;0,877076;0,954895
10;0,159609;0,46669;0,585676
7;0,944631;0,333338;0,585354
10;0,455856;0,781633;0,210418
0;0,102488;0,659548;0,400176
6;0,649051;0,120221;0,377876
9;0,482265;0,632631;0,154881
5;0,083505;0,163867;0,954359
9;0,834294;0,580032;0,033905
10;0,989435;0,458621;0,082096
7;0,253878;0,023255;0,200921
10;0,658716;0,643577;0,312273
1;0,952996;0,201717;0,713446
0;0,754336;0,853031;0,992464
5;0,43437;0,377739;0,582619
5;0,771698;0,84805;0,270372
3;0,18413;0,176675;0,670344
3;0,986519;0,367438;0,791182
9;0,493117;0,543712;0,159256
1;0,142503;0,10905;0,068215
0;0,092047;0,70221;0,964688
5;0,22285;0,184451;0,359309
5;0,990516;0,152115;0,538769
1;0,580004;0,713557;0,62089
4;0,592632;0,634376;0,754739
0;0,513319;0,202293;0,274175
7;0,887109;0,281351;0,682467
7;0,228655;0,906295;0,825553
