Risk;CVision;TAnalytics;Bot
1;0,607411;0,209778;0,197147
1;0,360045;0,795295;0,781774
1;0,18023;0,132084;0,469848
1;0,763871;0,077007;0,938256
1;0,123038;0,141907;0,129861
1;0,357032;0,728677;0,061859
1;0,324165;0,787763;0,595307
0;0,316473;0,901699;0,436611
0;0,804327;0,841052;0,258112
0;0,542911;0,351974;0,887154
0;0,72899;0,013489;0,698594
1;0,929537;0,64546;0,410227
1;0,260518;0,06461;0,645061
1;0,414432;0,07122;0,360693
1;0,722375;0,529457;0,300592
0;0,348021;0,066401;0,88998
1;0,386616;0,233085;0,840383
1;0,59107;0,565119;0,518046
0;0,423183;0,499265;0,281362
0;0,570419;0,035197;0,168979
1;0,700279;0,787349;0,225367
1;0,372863;0,547844;0,90466
0;0,572222;0,164872;0,58037
0;0,839376;0,38538;0,771207
1;0,289924;0,477432;0,685444
1;0,523226;0,586207;0,10326
0;0,690321;0,125361;0,630707
1;0,814605;0,227586;0,426196
0;0,862761;0,405028;0,416614
0;0,33448;0,550374;0,215607
1;0,868585;0,812922;0,964337
1;0,967291;0,292364;0,629856
0;0,339632;0,965546;0,415108
0;0,059295;0,811036;0,994537
0;0,420447;0,63871;0,223683
1;0,636693;0,369638;0,423573
0;0,028708;0,542482;0,676616
1;0,609506;0,810076;0,008292
1;0,291725;0,041314;0,158799
0;0,508075;0,007177;0,6044
1;0,835397;0,494039;0,837507
0;0,725447;0,203368;0,126483
0;0,293992;0,125728;0,076844
0;0,839088;0,526904;0,849431
1;0,466175;0,373116;0,398462
1;0,84773;0,213802;0,510173
0;0,239079;0,642849;0,349809
1;0,644439;0,10148;0,751623
0;0,043743;0,816312;0,479126
0;0,118923;0,004566;0,587211
1;0,38169;0,793315;0,761114
1;0,784346;0,898516;0,608749
0;0,210207;0,670891;0,021568
0;0,014014;0,598351;0,16802
0;0,618343;0,537422;0,721245
1;0,992159;0,494768;0,282592
1;0,524622;0,483302;0,928051
0;0,399939;0,640446;0,811118
1;0,926391;0,348011;0,584786
1;0,758699;0,877076;0,954895
0;0,159609;0,46669;0,585676
0;0,944631;0,333338;0,585354
0;0,455856;0,781633;0,210418
1;0,102488;0,659548;0,400176
0;0,649051;0,120221;0,377876
1;0,482265;0,632631;0,154881
1;0,083505;0,163867;0,954359
1;0,834294;0,580032;0,033905
1;0,989435;0,458621;0,082096
1;0,253878;0,023255;0,200921
1;0,658716;0,643577;0,312273
0;0,952996;0,201717;0,713446
0;0,754336;0,853031;0,992464
0;0,43437;0,377739;0,582619
1;0,771698;0,84805;0,270372
0;0,18413;0,176675;0,670344
0;0,986519;0,367438;0,791182
0;0,493117;0,543712;0,159256
1;0,142503;0,10905;0,068215
0;0,092047;0,70221;0,964688
1;0,22285;0,184451;0,359309
0;0,990516;0,152115;0,538769
0;0,580004;0,713557;0,62089
0;0,592632;0,634376;0,754739
1;0,513319;0,202293;0,274175
0;0,887109;0,281351;0,682467
0;0,228655;0,906295;0,825553
0;0,768437;0,526138;0,710844
1;0,441047;0,224876;0,094304
0;0,429043;0,134443;0,532866
0;0,729732;0,615755;0,656165
0;0,961985;0,253621;0,190004
1;0,661329;0,574871;0,229652
0;0,033615;0,901942;0,365326
0;0,59369;0,600173;0,77882
0;0,318064;0,199365;0,058614
0;0,63193;0,426762;0,237177
1;0,959487;0,762007;0,098236
1;0,191971;0,182442;0,548286
0;0,192299;0,800475;0,287166
0;0,422553;0,043964;0,387869
1;0,522883;0,460412;0,688019
1;0,004636;0,064775;0,465097
1;0,762042;0,481609;0,495838
0;0,816406;0,687787;0,915833
0;0,322899;0,602285;0,103113
1;0,29008;0,455485;0,319969
0;0,787209;0,405409;0,519505
0;0,919866;0,556648;0,816877
0;0,643547;0,726697;0,925265
1;0,393565;0,379962;0,367721
0;0,29944;0,958369;0,520589
0;0,247173;0,63421;0,268112
0;0,928562;0,62093;0,152238
0;0,646547;0,031477;0,17453
0;0,300759;0,910515;0,712274
0;0,965751;0,245949;0,115388
0;0,4207;0,644687;0,309958
0;0,64202;0,631986;0,075654
1;0,663068;0,431222;0,28277
1;0,675856;0,947644;0,328973
1;0,879622;0,910536;0,411087
0;0,124518;0,047292;0,650124
0;0,020305;0,133324;0,115201
1;0,583941;0,566546;0,208558
0;0,122002;0,461133;0,560716
0;0,566516;0,272764;0,217837
0;0,138767;0,073462;0,48331
0;0,926711;0,726692;0,557307
0;0,380889;0,498138;0,37512
1;0,748447;0,885082;0,591318
0;0,18439;0,74928;0,69855
1;0,169689;0,81639;0,03426
0;0,349681;0,445012;0,063797
0;0,180146;0,488075;0,082994
1;0,995099;0,413116;0,992689
1;0,140675;0,689117;0,222345
1;0,413148;0,970351;0,577046
0;0,026822;0,219579;0,677908
0;0,443945;0,248749;0,749073
1;0,424864;0,6459;0,146729
0;0,152408;0,431267;0,075437
0;0,802916;0,992542;0,491982
0;0,368017;0,383259;0,023594
1;0,919075;0,300331;0,325571
1;0,256598;0,303946;0,822301
0;0,818134;0,451491;0,288593
0;0,539124;0,466736;0,595969
1;0,382138;0,791156;0,973774
0;0,961663;0,125163;0,516562
0;0,335259;0,871384;0,660458
0;0,352856;0,614539;0,66378
1;0,485655;0,006434;0,17286
1;0,039754;0,234066;0,001604
1;0,529831;0,633892;0,88391
1;0,930272;0,051538;0,229568
1;0,271839;0,357387;0,600575
0;0,388236;0,964072;0,643076
1;0,871057;0,665755;0,874733
1;0,612404;0,173765;0,450604
1;0,992632;0,207451;0,529031
0;0,728082;0,707338;0,527994
0;0,326138;0,616911;0,121525
0;0,517749;0,375978;0,189442
0;0,345661;0,09608;0,852191
0;0,266127;0,968067;0,456786
0;0,891368;0,00178;0,359928
0;0,578824;0,674749;0,47951
1;0,721423;0,300702;0,434184
1;0,123773;0,309771;0,552962
0;0,037512;0,000705;0,772953
0;0,62044;0,792563;0,57458
1;0,406825;0,792478;0,66001
0;0,960897;0,688223;0,082541
1;0,420169;0,790486;0,101189
1;0,215011;0,18945;0,509343
0;0,093488;0,635301;0,906973
0;0,093148;0,398568;0,864802
1;0,384654;0,530008;0,304606
0;0,400463;0,284612;0,701494
0;0,832054;0,233582;0,356073
0;0,520052;0,084146;0,611893
1;0,112736;0,529919;0,230993
1;0,220986;0,795535;0,475665
1;0,350962;0,540485;0,513663
1;0,363778;0,030525;0,0325
0;0,063439;0,86369;0,323773
0;0,269458;0,060869;0,702061
